  0.9600000     -0.7900000    
  1.4705881E-02   94.54447      3.7784986E-03
  1.5398948E-02   94.85171      4.3523954E-03
  1.6124679E-02   94.96722      5.0033042E-03
  1.6884612E-02   94.88091      5.7393415E-03
  1.7680358E-02   94.58303      6.5689562E-03
  1.8513609E-02   94.06982      7.5012478E-03
  1.9386128E-02   93.33089      8.5449303E-03
  2.0299770E-02   92.35248      9.7080451E-03
  2.1256467E-02   91.14456      1.1000537E-02
  2.2258254E-02   89.70853      1.2431309E-02
  2.3307255E-02   88.04193      1.4007892E-02
  2.4405688E-02   86.15850      1.5739148E-02
  2.5555894E-02   84.07328      1.7633606E-02
  2.6760308E-02   81.79999      1.9698650E-02
  2.8021479E-02   79.35878      2.1942092E-02
  2.9342093E-02   76.77834      2.4373719E-02
  3.0724943E-02   74.09788      2.7007779E-02
  3.2172963E-02   71.35358      2.9860619E-02
  3.3689231E-02   68.55327      3.2939076E-02
  3.5276957E-02   65.71128      3.6251266E-02
  3.6939505E-02   62.89439      3.9837778E-02
  3.8680412E-02   60.16394      4.3754164E-02
  4.0503364E-02   57.55888      4.8061296E-02
  4.2412229E-02   55.11374      5.2837599E-02
  4.4411052E-02   52.84620      5.8169696E-02
  4.6504080E-02   50.75912      6.4150073E-02
  4.8695758E-02   48.85419      7.0890009E-02
  5.0990716E-02   47.12267      7.8507856E-02
  5.3393833E-02   45.53257      8.7097429E-02
  5.5910207E-02   44.05704      9.6760601E-02
  5.8545172E-02   42.66798      0.1075933    
  6.1304323E-02   41.29517      0.1195591    
  6.4193510E-02   39.87577      0.1325538    
  6.7218855E-02   38.34171      0.1463372    
  7.0386782E-02   36.63597      0.1605428    
  7.3704004E-02   34.74435      0.1748105    
  7.7177569E-02   32.67654      0.1887641    
  8.0814831E-02   30.46671      0.2020732    
  8.4623523E-02   28.16887      0.2145125    
  8.8611707E-02   25.87990      0.2262798    
  9.2787854E-02   23.76701      0.2385930    
  9.7160794E-02   21.91815      0.2526312    
  0.1017399       20.37650      0.2696577    
  0.1065347       19.16407      0.2911865    
  0.1115555       18.20732      0.3176357    
  0.1168130       17.42136      0.3489518    
  0.1223182       16.66760      0.3833154    
  0.1280829       15.79461      0.4170538    
  0.1341192       14.74631      0.4470606    
  0.1404401       13.52876      0.4709134    
  0.1470588       12.25088      0.4896100    
  0.1539895       11.07944      0.5083946    
  0.1612468       10.10896      0.5325858    
  0.1688461       9.388104      0.5678861    
  0.1768036       8.870572      0.6160771    
  0.1851361       8.386500      0.6687501    
  0.1938613       7.802911      0.7143973    
  0.2029977       7.133240      0.7498423    
  0.2125647       6.438222      0.7770504    
  0.2225826       5.819942      0.8064955    
  0.2330726       5.370133      0.8544142    
  0.2440569       5.018235      0.9167145    
  0.2555589       4.639944      0.9731857    
  0.2676031       4.218155       1.015794    
  0.2802148       3.830013       1.058970    
  0.2934209       3.503053       1.112065    
  0.3072495       3.211435       1.170530    
  0.3217297       2.934961       1.228247    
  0.3368923       2.676471       1.286014    
  0.3527696       2.440511       1.346368    
  0.3693951       2.224281       1.408876    
  0.3868042       2.022541       1.470892    
  0.4050337       1.836502       1.533468    
  0.4241224       1.669893       1.600929    
  0.4441106       1.519117       1.672147    
  0.4650408       1.379911       1.743951    
  0.4869576       1.251318       1.815728    
  0.5099072       1.133718       1.888811    
  0.5339384       1.026700       1.963935    
  0.5591022      0.9294663       2.041348    
  0.5854518      0.8411947       2.121192    
  0.6130432      0.7606684       2.202310    
  0.6419351      0.6873000       2.284702    
  0.6721886      0.6210002       2.370146    
  0.7038679      0.5606508       2.456834    
  0.7370402      0.5057609       2.544653    
  0.7717758      0.4561637       2.635143    
  0.8081485      0.4112033       2.727344    
  0.8462353      0.3703850       2.820569    
  0.8861173      0.3334832       2.915799    
  0.9278786      0.3001896       3.013554    
  0.9716079      0.2700247       3.112337    
   1.017399      0.2427379       3.212337    
   1.065347      0.2182221       3.315751    
   1.115556      0.1960420       3.420052    
   1.168130      0.1759907       3.525113    
   1.223182      0.1579975       3.633567    
   1.280829      0.1417687       3.743378    
   1.341192      0.1271184       3.853821    
   1.404401      0.1139594       3.966739    
   1.470588      0.1021428       4.082168    
   1.539895      9.1490060E-02   4.198145    
   1.612468      8.1908949E-02   4.315337    
   1.688461      7.3338948E-02   4.436268    
   1.768036      6.5622889E-02   4.557627    
   1.851361      5.8680348E-02   4.679245    
   1.938613      5.2485276E-02   4.805305    
   2.029977      4.6919625E-02   4.932167    
   2.125648      4.1917499E-02   5.059166    
   2.225826      3.7447155E-02   5.189221    
   2.330725      3.3446427E-02   5.321485    
   2.440569      2.9854519E-02   5.453729    
   2.555589      2.6639992E-02   5.587497    
   2.676031      2.3774531E-02   5.725263    
   2.802148      2.1204529E-02   5.862893    
   2.934210      1.8900648E-02   6.000125    
   3.072495      1.6854327E-02   6.143202    
   3.217296      1.5021095E-02   6.286150    
   3.368924      1.3379310E-02   6.428612    
   3.527696      1.1918464E-02   6.575118    
   3.693952      1.0614597E-02   6.723372    
   3.868042      9.4479276E-03   6.871000    
   4.050336      8.4079597E-03   7.020590    
   4.241224      7.4832048E-03   7.174160    
   4.441105      6.6564106E-03   7.326952    
   4.650410      5.9180451E-03   7.479314    
   4.869576      5.2639279E-03   7.638237    
   5.099073      4.6795141E-03   7.796227    
   5.339384      4.1576400E-03   7.952987    
   5.591021      3.6950172E-03   8.115207    
   5.854518      3.2829489E-03   8.278422    
   6.130432      2.9152336E-03   8.440275    
   6.419353      2.5885780E-03   8.604881    
   6.721886      2.2986657E-03   8.773222    
   7.038681      2.0401296E-03   8.940082    
   7.370402      1.8100056E-03   9.106748    
   7.717757      1.6065012E-03   9.280349    
   8.081485      1.4251268E-03   9.452287    
   8.462353      1.2635498E-03   9.622227    
   8.861174      1.1207702E-03   9.799416    
   9.278786      9.9377648E-04   9.976359    
   9.716080      8.8070886E-04   10.15115    
   10.17399      7.8057696E-04   10.32997    
   10.65347      6.9183524E-04   10.51201    
   11.15556      6.1286485E-04   10.69174    
   11.68130      5.4277427E-04   10.87183    
   12.23182      4.8087208E-04   11.05893    
   12.80829      4.2581465E-04   11.24357    
   13.41192      3.7686425E-04   11.42531    
   14.04401      3.3373272E-04   11.61669    
   14.70588      2.9541121E-04   11.80620    
   15.39895      2.6135601E-04   11.99267    
   16.12468      2.3127881E-04   12.18482    
   16.88462      2.0464904E-04   12.37923    
   17.68036      1.8099473E-04   12.57041    
   18.51361      1.6005397E-04   12.76291    
   19.38614      1.4157774E-04   12.96219    
   20.29977      1.2517224E-04   13.15804    
   21.25648      1.1061451E-04   13.35044    
   22.25826      9.7814336E-05   13.55457    
   23.30726      8.6452914E-05   13.75509    
   24.40569      7.6372889E-05   13.95156    
   25.55590      6.7492103E-05   14.15586    
   26.76032      5.9634865E-05   14.36098    
   28.02148      5.2666281E-05   14.56183    
   29.34210      4.6511399E-05   14.76533    
   30.72495      4.1084742E-05   14.97490    
   32.17297      3.6273446E-05   15.18001    
   33.68924      3.2013577E-05   15.38218    
   35.27696      2.8270450E-05   15.59610    
   36.93952      2.4952780E-05   15.80529    
   38.68042      2.2013406E-05   16.00924    
   40.50338      1.9429484E-05   16.22352    
   42.41224      1.7144594E-05   16.43655    
   44.41108      1.5120797E-05   16.64403    
   46.50408      1.3337266E-05   16.85582    
   48.69576      1.1765501E-05   17.07237    
   50.99073      1.0373765E-05   17.28304    
   53.39387      9.1441198E-06   17.49146    
   55.91021      8.0641776E-06   17.71101    
   58.54519      7.1081854E-06   17.92430    
   61.30436      6.2622594E-06   18.13072    
   64.19350      5.5202295E-06   18.35017    
   67.21886      4.8642960E-06   18.56536    
   70.38681      4.2840434E-06   18.77317    
   73.70406      3.7737277E-06   18.98693    
   77.17757      3.3241897E-06   19.20299    
   80.81486      2.9266203E-06   19.41109    
   84.62357      2.5760730E-06   19.61743    
   88.61169      2.2683280E-06   19.83302    
   92.78786      1.9962406E-06   20.03993    
   97.16086      1.7557754E-06   20.23731    
   101.7398      1.5452937E-06   20.45003    
   106.5347      1.3593010E-06   20.65375    
   111.5556      1.1949761E-06   20.84697    
   116.8130      1.0507650E-06   21.04697    
   122.3182      9.2378627E-07   21.24490    
   128.0829      8.1163677E-07   21.43113    
   134.1193      7.1296529E-07   21.61485    
   140.4401      6.2639145E-07   21.80363    
   147.0588      5.4995718E-07   21.97921    
