  0.9600000     -0.7900000    
  1.4705881E-02   92.72944      3.7059602E-03
  1.5398948E-02   93.02487      4.2685685E-03
  1.6124679E-02   93.13877      4.9069729E-03
  1.6884612E-02   93.06040      5.6292191E-03
  1.7680358E-02   92.77970      6.4437119E-03
  1.8513609E-02   92.28776      7.3591433E-03
  1.9386128E-02   91.57740      8.3843889E-03
  2.0299770E-02   90.64341      9.5283883E-03
  2.1256467E-02   89.48367      1.0800079E-02
  2.2258254E-02   88.09906      1.2208277E-02
  2.3307255E-02   86.49451      1.3761689E-02
  2.4405688E-02   84.67957      1.5468982E-02
  2.5555894E-02   82.66816      1.7338894E-02
  2.6760308E-02   80.47920      1.9380584E-02
  2.8021479E-02   78.13635      2.1604100E-02
  2.9342093E-02   75.66711      2.4020959E-02
  3.0724943E-02   73.10245      2.6644956E-02
  3.2172963E-02   70.47524      2.9493045E-02
  3.3689231E-02   67.81933      3.2586429E-02
  3.5276957E-02   65.16793      3.5951514E-02
  3.6939505E-02   62.55261      3.9621290E-02
  3.8680412E-02   60.00195      4.3636363E-02
  4.0503364E-02   57.54114      4.8046485E-02
  4.2412229E-02   55.19104      5.2911706E-02
  4.4411052E-02   52.96833      5.8304131E-02
  4.6504080E-02   50.88477      6.4308867E-02
  4.8695758E-02   48.94699      7.1024671E-02
  5.0990716E-02   47.15557      7.8562669E-02
  5.3393833E-02   45.50369      8.7042190E-02
  5.5910207E-02   43.97556      9.6581645E-02
  5.8545172E-02   42.54486      0.1072829    
  6.1304323E-02   41.17364      0.1192072    
  6.4193510E-02   39.81265      0.1323440    
  6.7218855E-02   38.40441      0.1465765    
  7.0386782E-02   36.88934      0.1616531    
  7.3704004E-02   35.21575      0.1771822    
  7.7177569E-02   33.35231      0.1926678    
  8.0814831E-02   31.30051      0.2076035    
  8.4623523E-02   29.10291      0.2216254    
  8.8611707E-02   26.84271      0.2346981    
  9.2787854E-02   24.63229      0.2472794    
  9.7160794E-02   22.59124      0.2603894    
  0.1017399       20.81954      0.2755207    
  0.1065347       19.37217      0.2943483    
  0.1115555       18.24186      0.3182381    
  0.1168130       17.35446      0.3476116    
  0.1223182       16.58142      0.3813334    
  0.1280829       15.77365      0.4165004    
  0.1341192       14.81444      0.4491259    
  0.1404401       13.67285      0.4759289    
  0.1470588       12.42467      0.4965554    
  0.1539895       11.21805      0.5147551    
  0.1612468       10.19663      0.5372050    
  0.1688461       9.423826      0.5700469    
  0.1768036       8.850138      0.6146578    
  0.1851361       8.342162      0.6652145    
  0.1938613       7.767884      0.7111904    
  0.2029977       7.091956      0.7455025    
  0.2125647       6.398163      0.7722156    
  0.2225826       5.805387      0.8044785    
  0.2330726       5.355609      0.8521032    
  0.2440569       4.983054      0.9102877    
  0.2555589       4.593146      0.9633704    
  0.2676031       4.168967       1.003949    
  0.2802148       3.775284       1.043838    
  0.2934209       3.456992       1.097442    
  0.3072495       3.181591       1.159652    
  0.3217297       2.902429       1.214633    
  0.3368923       2.630523       1.263936    
  0.3527696       2.396574       1.322130    
  0.3693951       2.190022       1.387176    
  0.3868042       1.990054       1.447265    
  0.4050337       1.805669       1.507722    
  0.4241224       1.643162       1.575302    
  0.4441106       1.492081       1.642388    
  0.4650408       1.352662       1.709514    
  0.4869576       1.227581       1.781284    
  0.5099072       1.112403       1.853299    
  0.5339384       1.007521       1.927247    
  0.5591022      0.9123622       2.003783    
  0.5854518      0.8253778       2.081307    
  0.6130432      0.7465608       2.161466    
  0.6419351      0.6747417       2.242956    
  0.6721886      0.6096371       2.326777    
  0.7038679      0.5504569       2.412163    
  0.7370402      0.4968393       2.499766    
  0.7717758      0.4481835       2.589043    
  0.8081485      0.4041284       2.680419    
  0.8462353      0.3642271       2.773675    
  0.8861173      0.3281073       2.868795    
  0.9278786      0.2954491       2.965965    
  0.9716079      0.2659207       3.065033    
   1.017399      0.2392352       3.165983    
   1.065347      0.2151380       3.268890    
   1.115556      0.1933886       3.373761    
   1.168130      0.1737664       3.480559    
   1.223182      0.1560714       3.589272    
   1.280829      0.1401220       3.699899    
   1.341192      0.1257532       3.812433    
   1.404401      0.1128142       3.926875    
   1.470588      0.1011680       4.043211    
   1.539895      9.0690106E-02   4.161438    
   1.612468      8.1267752E-02   4.281555    
   1.688461      7.2798297E-02   4.403563    
   1.768036      6.5187961E-02   4.527420    
   1.851361      5.8352772E-02   4.653123    
   1.938613      5.2216481E-02   4.780695    
   2.029977      4.6709444E-02   4.910073    
   2.125648      4.1769437E-02   5.041297    
   2.225826      3.7339594E-02   5.174316    
   2.330725      3.3368800E-02   5.309134    
   2.440569      2.9810838E-02   5.445749    
   2.555589      2.6623959E-02   5.584134    
   2.676031      2.3770453E-02   5.724281    
   2.802148      2.1216406E-02   5.866177    
   2.934210      1.8931147E-02   6.009807    
   3.072495      1.6887138E-02   6.155162    
   3.217296      1.5059501E-02   6.302222    
   3.368924      1.3425874E-02   6.450985    
   3.527696      1.1966151E-02   6.601426    
   3.693952      1.0662227E-02   6.753541    
   3.868042      9.4978483E-03   6.907305    
   4.050336      8.4584123E-03   7.062717    
   4.241224      7.5307619E-03   7.219753    
   4.441105      6.7031635E-03   7.378415    
   4.650410      5.9650084E-03   7.538667    
   4.869576      5.3068455E-03   7.700513    
   5.099073      4.7201533E-03   7.863934    
   5.339384      4.1973325E-03   8.028913    
   5.591021      3.7315506E-03   8.195444    
   5.854518      3.3166921E-03   8.363511    
   6.130432      2.9472935E-03   8.533095    
   6.419353      2.6184535E-03   8.704193    
   6.721886      2.3258000E-03   8.876783    
   7.038681      2.0654097E-03   9.050861    
   7.370402      1.8337880E-03   9.226404    
   7.717757      1.6278044E-03   9.403412    
   8.081485      1.4446627E-03   9.581861    
   8.462353      1.2818698E-03   9.761739    
   8.861174      1.1371969E-03   9.943042    
   9.278786      1.0086579E-03   10.12575    
   9.716080      8.9447782E-04   10.30986    
   10.17399      7.9307333E-04   10.49535    
   10.65347      7.0303684E-04   10.68222    
   11.15556      6.2310835E-04   10.87044    
   11.68130      5.5216928E-04   11.06001    
